кобзар	코브자르	kʰobɯd͡ɕalɯ
Луцьк	루츠크	lut͡ɕʰɯkʰɯ
Горлівка	호를리우카	holɯlliukʰa
Єнакієве	예나키예베	jenakʰijebe
Запоріжжя	자포리자	t͡ɕapʰolid͡ɕa
Сєверодонецьк	세베로도네츠크	sebelodonet͡ɕʰɯkʰɯ
Львів	리비우	libiu
Кіровоград	키로보흐라드	kʰilobohɯladɯ
Чернівці	체르니우치	t͡ɕʰelɯniut͡ɕʰi
Вінниця	빈니차	pinnit͡ɕʰa
Одеса	오데사	odesa
Миколаїв	미콜라이우	mikʰollaiu
Херсон	헤르손	helɯson
Дніпродзержинськ	드니프로제르진스크	tɯnipʰɯlod͡ɕelɯd͡ɕins͈ɯkʰɯ
Рівне	리우네	liune
Маріуполь	마리우폴	maliupʰol
Суми	수미	sumi
Слов'янськ	슬로비얀스크	sɯllobijans͈ɯkʰɯ
Кременчук	크레멘추크	kʰɯlement͡ɕʰukʰɯ
гетьман	헤티만	hetʰiman
бандура	반두라	pandula
Харків	하르키우	halɯkʰiu
Дніпропетровськ	드니프로페트로우스크	tɯnipʰɯlopʰetʰɯlousɯkʰɯ
Голодомор	홀로도모르	hollodomolɯ
Євпаторія	예우파토리야	jeupʰatʰolija
Тернопіль	테르노필	tʰelɯnopʰil
Черкаси	체르카시	t͡ɕʰelɯkʰasi
Ананьїв	아나니우	ananiu
Чернігів	체르니히우	t͡ɕʰelɯnihiu
Донецьк	도네츠크	tonet͡ɕʰɯkʰɯ
Ужгород	우주호로드	ud͡ɕuholodɯ
козак	코자크	kʰod͡ɕakʰɯ
Полтава	폴타바	pʰoltʰaba
писанка	피산카	pʰisankʰa
Луганськ	루한스크	luhans͈ɯkʰɯ
Макіївка	마키이우카	makʰiiukʰa
Київ	키이우	kʰiiu
Житомир	지토미르	t͡ɕitʰomilɯ
гопак	호파크	hopʰakʰɯ
