Olwen	o l . w e n
Myrddin	m ʌ . l ɯ . d i n
Llywarch	h ɯ l . l ʌ . w a . l ɯ . h ɯ
Pryderi	p ɯ . l ʌ . d e . l i
Arianrhod	a . l i . a n . h ɯ . l o . d ɯ
Mabinogion	m a . b i . n o . ɡ i . o n
Gwenhwyfar	ɡ w e n . h u . i . b a . l ɯ
Peredur	p e . l e . d w i . l ɯ
Gofannon	ɡ o . b a . n o n
Gwawl	ɡ w a . u l
Gwynedd	ɡ w i . n e . d ɯ
tynged	t ʌ ŋ . e . d ɯ
Culhwch	k w i l . h u . h ɯ
Brânwen	b ɯ . l a n . w e n
Annwn	a . n u n
Rhonabwy	h ɯ . l o . n a . b u . i
Aneirin	a . n e . i . l i n
Rhiannon	h ɯ . l i . a . n o n
Taliesin	t a l . l i . e . s i n
Manawydan	m a . n a . w i . d a n
Llŷr	h ɯ l . l i . l ɯ
Geraint	ɡ e . l a . i n . t ɯ
Tegwaret	t e . ɡ w a . l e t
