Olwen	올웬	olwen
Myrddin	머르딘	mʌlɯdin
Llywarch	흘러와르흐	hɯllʌwalɯhɯ
Pryderi	프러데리	pʰɯlʌdeli
Arianrhod	아리안흐로드	alianhɯlodɯ
Mabinogion	마비노기온	mabinogion
Gwenhwyfar	궨후이바르	kwenhuibalɯ
Peredur	페레뒤르	pʰeledwilɯ
Gofannon	고바논	kobanon
Gwawl	과울	kwaul
Gwynedd	귀네드	kwinedɯ
tynged	텅에드	tʰʌŋedɯ
Culhwch	퀼후흐	kʰwilhuhɯ
Brânwen	브란웬	pɯlanwen
Annwn	아눈	anun
Rhonabwy	흐로나부이	hɯlonabui
Aneirin	아네이린	aneilin
Rhiannon	흐리아논	hɯlianon
Taliesin	탈리에신	tʰalliesin
Manawydan	마나위단	manawidan
Llŷr	흘리르	hɯllilɯ
Geraint	게라인트	kelaintʰɯ
Tegwaret	테과렛	tʰegwalet
